Metadata_Plate_Map_Name,Metadata_broad_sample,Metadata_pert_well,Metadata_mmoles_per_liter,Metadata_dose_recode,Metadata_unique_id,0,1,2,3,4,5,6,7,8,9
C-7161-01-LM6-001,BRD-A28787076-001-04-8,J23,0.12346,2,BRD-A28787076-001-04-8_dose_2,-0.41876918,1.0741819,-0.004645981,1.108161,0.63613576,1.5165802,-1.1398963,-0.86875623,0.50066245,0.15465975
C-7161-01-LM6-001,BRD-A28787076-001-04-8,J24,0.041152,1,BRD-A28787076-001-04-8_dose_1,0.9034868,0.96184397,-1.5505202,0.5308868,0.050869986,-0.5037304,-1.1464486,0.3525136,-1.046809,0.8970104
C-7161-01-LM6-001,BRD-A29260609-003-26-0,L07,10.0,6,BRD-A29260609-003-26-0_dose_6,-2.0818765,0.9612692,-1.9084462,-0.350757,0.7137456,-0.78704834,0.29066765,-0.4373163,-0.16646901,0.40437475
C-7161-01-LM6-001,BRD-A29260609-003-26-0,L08,3.3333,5,BRD-A29260609-003-26-0_dose_5,-0.94667625,0.85037005,0.40632063,-1.9849919,-0.92689323,0.019102633,0.9599891,1.340295,-0.3860218,-0.067754745
C-7161-01-LM6-001,BRD-A29260609-003-26-0,L09,1.1111,4,BRD-A29260609-003-26-0_dose_4,0.33959323,0.65146255,0.35298184,0.71525997,0.7921059,0.54534394,1.6355075,-1.8357298,-1.4044265,0.61007476
C-7161-01-LM6-001,BRD-A29260609-003-26-0,L10,0.37037,3,BRD-A29260609-003-26-0_dose_3,0.118245035,-0.00021216273,-1.5336043,0.085363984,1.5772219,0.026140809,-0.63388443,1.6941594,1.603057,1.5232792
C-7161-01-LM6-001,BRD-A29260609-003-26-0,L11,0.12346,2,BRD-A29260609-003-26-0_dose_2,0.402788,0.9144505,0.88270974,0.36074477,2.508014,-0.55778944,0.31164336,0.47956598,1.8162899,1.4875768
C-7161-01-LM6-001,BRD-A29260609-003-26-0,L12,0.041152,1,BRD-A29260609-003-26-0_dose_1,-1.1202962,1.4215059,-0.91414946,-2.0989013,0.14499551,-0.05990231,1.4552594,0.5027559,1.5961045,0.2584423
C-7161-01-LM6-001,BRD-A29289453-001-04-7,K13,10.0,6,BRD-A29289453-001-04-7_dose_6,-2.3487747,1.3546414,-0.7407105,-0.2504473,0.5999301,0.038240284,1.1130567,1.0509244,0.7193543,0.09973395
C-7161-01-LM6-001,BRD-A29289453-001-04-7,K14,3.3333,5,BRD-A29289453-001-04-7_dose_5,0.4694973,1.2717216,-0.460413,-1.1940565,-0.18341959,1.2048309,-1.0554124,1.271741,0.93548167,1.5701566
C-7161-01-LM6-001,BRD-A29289453-001-04-7,K15,1.1111,4,BRD-A29289453-001-04-7_dose_4,-2.1058543,0.5484298,-0.6552989,0.77415496,0.56944096,1.1354338,-1.2378814,0.26310128,0.44248277,0.08005583
C-7161-01-LM6-001,BRD-A29289453-001-04-7,K16,0.37037,3,BRD-A29289453-001-04-7_dose_3,2.522471,1.4082133,-1.0287879,-0.4355746,0.94745874,0.19328961,-0.49695304,1.3184159,1.4953158,-0.2624514
C-7161-01-LM6-001,BRD-A29289453-001-04-7,K17,0.12346,2,BRD-A29289453-001-04-7_dose_2,0.036119074,-0.5861429,0.050392855,-0.70288044,0.7628212,-1.2668787,1.609771,-1.2476251,0.31327036,0.9223904
C-7161-01-LM6-001,BRD-A29289453-001-04-7,K18,0.041152,1,BRD-A29289453-001-04-7_dose_1,-0.5668891,0.013274312,-0.07172052,0.24594064,-0.14974988,0.21223003,0.12557001,1.232644,-0.2353766,2.772016
C-7161-01-LM6-001,BRD-A29322418-237-04-0,L13,10.0,6,BRD-A29322418-237-04-0_dose_6,-0.037761897,0.5757016,1.0658286,0.24780174,-0.92013645,0.5432167,-1.0467665,-0.11014831,0.7038697,-0.88811576
C-7161-01-LM6-001,BRD-A29322418-237-04-0,L14,3.3333,5,BRD-A29322418-237-04-0_dose_5,-0.39270455,0.05654016,-1.4098036,-1.8247693,1.6580943,1.1514499,1.6135722,-0.5775306,0.032509327,0.22624141
C-7161-01-LM6-001,BRD-A29322418-237-04-0,L15,1.1111,4,BRD-A29322418-237-04-0_dose_4,0.87359273,-0.21099406,-0.72186816,-0.9580629,1.3327544,0.7554239,-0.7059704,-0.32937688,0.86343694,-0.46063656
C-7161-01-LM6-001,BRD-A29322418-237-04-0,L16,0.37037,3,BRD-A29322418-237-04-0_dose_3,-1.3470316,1.244066,-1.2298733,-0.9543564,-0.020553023,0.63204515,-0.2637282,-0.7876421,-1.4703751,0.9191864
C-7161-01-LM6-001,BRD-A29322418-237-04-0,L17,0.12346,2,BRD-A29322418-237-04-0_dose_2,-1.1003783,-0.68560123,0.61934066,0.25832838,0.8660437,-0.40401375,0.4026179,-0.6555382,1.4401965,-0.73647916
C-7161-01-LM6-001,BRD-A29322418-237-04-0,L18,0.041152,1,BRD-A29322418-237-04-0_dose_1,-0.111161545,0.3366321,1.2389506,0.20115153,-0.22426242,0.1576843,1.097174,0.6496941,0.99641836,-0.18738067
C-7161-01-LM6-001,BRD-A29623586-001-01-3,N01,10.0,6,BRD-A29623586-001-01-3_dose_6,-1.831452,0.5944043,0.38220865,0.24304956,0.40004382,-1.0832464,0.16052884,2.0972896,1.338883,-0.42665598
C-7161-01-LM6-001,BRD-A29623586-001-01-3,N02,3.3333,5,BRD-A29623586-001-01-3_dose_5,-0.5109545,-0.692248,-0.34012285,-0.2113632,0.1454519,-0.8603324,-2.2830865,1.8542752,0.22198734,1.7385488
C-7161-01-LM6-001,BRD-A29623586-001-01-3,N03,1.1111,4,BRD-A29623586-001-01-3_dose_4,-0.52771723,-1.298681,-1.4809483,1.8618183,-1.2267272,-0.38782215,-0.7848659,-0.9004816,0.058125198,1.22887
C-7161-01-LM6-001,BRD-A29623586-001-01-3,N04,0.37037,3,BRD-A29623586-001-01-3_dose_3,-0.7965758,0.47257233,0.5241597,-1.0172014,1.5527533,-0.15523168,-0.4810276,-0.33021498,-0.44342422,0.08240457
C-7161-01-LM6-001,BRD-A29623586-001-01-3,N05,0.12346,2,BRD-A29623586-001-01-3_dose_2,0.61730844,-0.07959969,-1.7002795,-1.4773588,-2.6104944,1.8107547,0.6767079,-0.005973041,-0.41714877,0.5994886
C-7161-01-LM6-001,BRD-A29623586-001-01-3,N06,0.041152,1,BRD-A29623586-001-01-3_dose_1,-0.7039373,0.6756952,-0.5849958,-1.2866422,1.2593181,-0.25784516,-1.4609643,-0.14949957,-0.09477541,0.4970266
C-7161-01-LM6-001,BRD-A29731977-001-04-5,N13,10.0,6,BRD-A29731977-001-04-5_dose_6,0.7000592,-0.41273573,0.41235736,3.0892045,0.68250346,-0.6420512,-3.4912634,1.1529492,0.78257483,-0.04537317
